name_last,name_first,key_bbref,full_name
andrews,,andre04,
andrews,hub,andrehu01,hub andrews
andrews,rob,andrero01,rob andrews
andrews,curley,andrecu01,curley andrews
andrews,,andre05,
andrews,stan,andrest01,stan andrews
andrews,jabbo,andreja01,jabbo andrews
andriese,matt,andrima01,matt andriese
andrus,fred,andrufr01,fred andrus
andrus,bill,andrubi01,bill andrus
andrus,elvis,andruel01,elvis andrus
andrus,wyman,andruwi01,wyman andrus
andujar,miguel,andujmi01,miguel andujar
andujar,luis,andujlu01,luis andujar
andujar,joaquin,andujjo01,joaquin andujar
angelini,norm,angelno01,norm angelini
angle,matt,anglema01,matt angle
angley,tom,angleto01,tom angley
ankenman,pat,ankenpa01,pat ankenman
ankiel,rick,ankieri01,rick ankiel
anna,dean,annade01,dean anna
annis,bill,annisbi01,bill annis
anson,cap,ansonca01,cap anson
anthony,eric,anthoer01,eric anthony
anthony,merle,,merle anthony
antolick,joe,antoljo01,joe antolick
antolin,dustin,antoldu01,dustin antolin
antone,tejay,antonte01,tejay antone
antonelli,john,antonjo01,john antonelli
antonelli,matt,antonma01,matt antonelli
antonelli,johnny,antonjo02,johnny antonelli
antonello,bill,antonbi01,bill antonello
aoki,nori,aokino01,nori aoki
aparicio,luis,aparilu01,luis aparicio
apodaca,bob,apodabo01,bob apodaca
aponte,ricardo,,ricardo aponte
aponte,luis,apontlu01,luis aponte
apostel,sherten,apostsh01,sherten apostel
appel,mark,appelma01,mark appel
appier,kevin,appieke01,kevin appier
applegate,red,applere01,red applegate
applegate,fred,applefr01,fred applegate
applegate,gideon,applegi01,gideon applegate
appleton,pete,applepe01,pete appleton
appleton,ed,appleed01,ed appleton
appling,luke,applilu01,luke appling
aquino,jayson,aquinja01,jayson aquino
aquino,aristides,aquinar01,aristides aquino
aquino,luis,aquinlu01,luis aquino
aquino,greg,aquingr01,greg aquino
aragon,jack,aragoja01,jack aragon
aranda,jonathan,arandjo01,jonathan aranda
arano,víctor,aranovi01,víctor arano
arata,mark,,mark arata
araujo,elvis,araujel01,elvis araujo
archdeacon,maurice,archdma01,maurice archdeacon
archer,chris,archech01,chris archer
archer,jim,archeji02,jim archer
archer,jimmy,archeji01,jimmy archer
archer,fred,archefr01,fred archer
archie,george,archige01,george archie
arcia,orlando,arciaor01,orlando arcia
arcia,francisco,arciafr01,francisco arcia
arcia,oswaldo,arciaos01,oswaldo arcia
arcia,jose,arciajo01,jose arcia
ardell,dan,ardelda01,dan ardell
ardizoia,rugger,ardizru01,rugger ardizoia
ardner,joe,ardnejo01,joe ardner
ardoin,danny,ardoida01,danny ardoin
arellanes,frank,arellfr01,frank arellanes
arenado,nolan,arenano01,nolan arenado
arenas,hipolito,arenahi01,hipolito arenas
arencibia,j. p.,arencjp01,j. p. arencibia
arencibia,mario,arencma01,mario arencibia
arft,hank,arftha01,hank arft
arias,joaquin,ariasjo01,joaquin arias
arias,gabriel,ariasga01,gabriel arias
arias,alberto,ariasal02,alberto arias
arias,alex,ariasal01,alex arias
arias,rudy,ariasru01,rudy arias
arias,george,ariasge01,george arias
arihara,heiji,arihahe01,heiji arihara
arihara,kohei,arihako01,kohei arihara
arlett,buzz,arletbu01,buzz arlett
arlich,don,arlicdo01,don arlich
arlin,steve,arlinst01,steve arlin
armas,tony,armasto02,tony armas
armas,tony,armasto01,tony armas
armas,marcos,armasma01,marcos armas
armas,felipe,armasfe01,felipe armas
armbrister,ed,armbred01,ed armbrister
armbrust,orville,armbror01,orville armbrust
armbruster,charlie,armbrch01,charlie armbruster
armbruster,harry,armbrha01,harry armbruster
armendariz,ramon,,ramon armendariz
armenteros,rogelio,armenro01,rogelio armenteros
armour,buddy,armoubu01,buddy armour
armour,bill,armoubi99,bill armour
armour,,armou01,
armstead,jimmie,armstji01,jimmie armstead
armstrong,shawn,armstsh01,shawn armstrong
armstrong,jack,armstja01,jack armstrong
armstrong,george,armstge01,george armstrong
armstrong,robert,armstsa01,robert armstrong
armstrong,howard,armstho01,howard armstrong
armstrong,mike,armstmi01,mike armstrong
arndt,harry,arndtha01,harry arndt
arndt,larry,arndtla01,larry arndt
arnold,billy,arnolbi01,billy arnold
arnold,jamie,arnolja01,jamie arnold
arnold,frank,,frank arnold
arnold,chris,arnolch01,chris arnold
arnold,tony,arnolto01,tony arnold
arnold,scott,arnolsc01,scott arnold
arnold,paul,arnolpa01,paul arnold
arnovich,morrie,arnovmo01,morrie arnovich
arnsberg,brad,arnsbbr01,brad arnsberg
arntzen,orie,arntzor01,orie arntzen
aro,jonathan,arojo01,jonathan aro
arocha,rené,arochre01,rené arocha
arozarena,randy,arozara01,randy arozarena
arraez,luis,arraelu01,luis arraez
arredondo,jose,arredjo01,jose arredondo
arrieta,david,,david arrieta
arrieta,jake,arrieja01,jake arrieta
arrigo,gerry,arrigge01,gerry arrigo
arrojo,rolando,arrojro01,rolando arrojo
arroyo,christian,arroych01,christian arroyo
arroyo,luis,arroylu01,luis arroyo
arroyo,rudy,arroyru01,rudy arroyo
arroyo,bronson,arroybr01,bronson arroyo
arroyo,fernando,arroyfe01,fernando arroyo
arruebarrena,erisbel,arrueba01,erisbel arruebarrena
arsenault,pierre,,pierre arsenault
arteaga,humberto,arteahu01,humberto arteaga
arundel,harry,arundha01,harry arundel
arundel,tug,arundtu01,tug arundel
asadoor,randy,asadora01,randy asadoor
asbell,jim,asbelji01,jim asbell
asbjornson,casper,asbjoca01,casper asbjornson
asbury,orlando,asburor01,orlando asbury
ascanio,jose,ascanjo01,jose ascanio
ascanio,carlos,ascanca01,carlos ascanio
asche,cody,ascheco01,cody asche
aschwege,dave,,dave aschwege
asencio,miguel,asencmi01,miguel asencio
asencio,jairo,valdelu01,jairo asencio
ash,rudolph,ashru01,rudolph ash
ash,ken,ashke01,ken ash
ashburn,richie,ashburi01,richie ashburn
ashby,andy,ashbyan01,andy ashby
ashby,alan,ashbyal01,alan ashby
ashby,aaron,ashbyaa01,aaron ashby
ashby,earl,ashbyea01,earl ashby
ashcraft,graham,ashcrgr01,graham ashcraft
asher,alec,asheral01,alec asher
ashford,emmett,,emmett ashford
ashford,tucker,ashfotu01,tucker ashford
ashley,billy,ashlebi01,billy ashley
ashley,nevin,ashlene01,nevin ashley
asmussen,tom,asmusto01,tom asmussen
aspromonte,bob,asprobo01,bob aspromonte
aspromonte,ken,asproke01,ken aspromonte
assad,javier,assadja01,javier assad
asselstine,brian,asselbr01,brian asselstine
assenmacher,paul,assenpa01,paul assenmacher
astacio,pedro,astacpe01,pedro astacio
astacio,ezequiel,astacez01,ezequiel astacio
astin,barrett,astinba01,barrett astin
astroth,joe,astrojo01,joe astroth
astudillo,willians,astudwi01,willians astudillo
asuaje,carlos,asuajca01,carlos asuaje
atchison,scott,atchisc01,scott atchison
atchley,justin,atchlju01,justin atchley
atherton,charlie,atherch01,charlie atherton
atherton,keith,atherke01,keith atherton
atilano,luis,atilalu01,luis atilano
atkins,mitch,atkinmi01,mitch atkins
atkins,joe,atkinjo01,joe atkins
atkins,abe,atkinab01,abe atkins
atkins,tommy,atkinto01,tommy atkins
atkins,james,atkinja01,james atkins
atkins,garrett,atkinga01,garrett atkins
atkinson,ed,atkined01,ed atkinson
atkinson,al,atkinal01,al atkinson
atkinson,lefty,atkinle01,lefty atkinson
atkinson,harry,adkinhe01,harry atkinson
atkinson,bill,atkinbi01,bill atkinson
attreau,dick,attredi01,dick attreau
atwell,toby,atwelto01,toby atwell
atwood,bill,atwoobi01,bill atwood
atz,jake,atzja01,jake atz
aubrey,michael,aubremi01,michael aubrey
aubrey,harry,aubreha01,harry aubrey
aucoin,derek,aucoide01,derek aucoin
aude,rich,auderi01,rich aude
auerbach,rick,auerbri01,rick auerbach
augenstein,bryan,augenbr01,bryan augenstein
august,don,augusdo01,don august
augustine,dave,augusda01,dave augustine
augustine,jerry,augusje01,jerry augustine
auker,elden,aukerel01,elden auker
aulds,tex,auldsle01,tex aulds
ault,doug,aultdo01,doug ault
aumont,phillippe,aumonph01,phillippe aumont
aurilia,rich,aurilri01,rich aurilia
ausanio,joe,ausanjo01,joe ausanio
ausmus,brad,ausmubr01,brad ausmus
aust,dennis,austde01,dennis aust
austin,tyler,austity01,tyler austin
austin,rick,austiri01,rick austin
austin,ed,,ed austin
austin,jeff,austije01,jeff austin
austin,jimmy,austiji01,jimmy austin
austin,raymond,austira01,raymond austin
austin,frankie,austifr01,frankie austin
austin,jim,austiji02,jim austin
austin,henry,austihe01,henry austin
autry,al,autryal01,al autry
autry,martin,autrych02,martin autry
autry,chick,autrych01,chick autry
avelino,abiatal,aveliab01,abiatal avelino
aven,bruce,avenbr01,bruce aven
averill,earl,averiea01,earl averill
averill,earl,averiea02,earl averill
avery,skip,averysk01,skip avery
avery,steve,averyst01,steve avery
avery,ham,,ham avery
avery,xavier,averyxa01,xavier avery
avila,alex,avilaal01,alex avila
avila,pedro,avilape01,pedro avila
avila,bobby,avilabo01,bobby avila
aviles,ramon,avilera01,ramon aviles
aviles,mike,avilemi01,mike aviles
avrea,jay,avreaja01,jay avrea
awkard,russell,awkarru01,russell awkard
axelrod,dylan,axelrdy01,dylan axelrod
axford,john,axforjo01,john axford
ayala,bobby,ayalabo01,bobby ayala
ayala,luis,ayalalu01,luis ayala
ayala,benny,ayalabe01,benny ayala
aybar,erick,aybarer01,erick aybar
aybar,willy,aybarwi01,willy aybar
aybar,manny,aybarma01,manny aybar
aydelott,jake,aydelja01,jake aydelott
ayers,a. d.,,a. d. ayers
ayers,bill,ayersbi01,bill ayers
ayers,doc,ayersdo01,doc ayers
aylward,dick,aylwadi01,dick aylward
ayrault,joe,ayraujo01,joe ayrault
ayrault,bob,ayraubo01,bob ayrault
azcue,joe,azcuejo01,joe azcue
azocar,oscar,azocaos01,oscar azocar
azocar,josé,azocajo01,josé azocar
babb,charlie,babbch01,charlie babb
babcock,bob,babcobo01,bob babcock
babe,loren,babelo01,loren babe
babich,johnny,babicjo01,johnny babich
