name_last,name_first,bpid,key_mlbam,key_bbref,key_fangraphs,mlb_played_last
Aleno,Chuck,18380,110122,alenoch01,1000119,1944
Alexander,Bob,18381,110131,alexabo01,1000120,1957
,,,-1,alexabu01,-1,1926
,,,-1,alexach01,-1,1932
Alexander,Dale,18382,110123,alexada01,1000121,1933
Alexander,Doyle,18383,110124,alexado01,1000122,1989
Alexander,Gary,18384,110125,alexaga01,1000123,1981
Alexander,Gerald,18385,110126,alexage01,1000124,1992
Alexander,Hugh,18386,110128,alexahu01,1000125,1937
,,,-1,alexako01,-1,1921
Alexander,Manny,16675,110129,alexama02,1954,2006
Alexander,Matt,18387,110130,alexama01,1000126,1981
Alexander,Nin,18388,110133,alexani01,1000127,1884
Alexander,Grover,18389,110127,alexape01,1000128,1930
Alexander,Scott,65851,518397,alexasc02,10591,2021
,,,-1,alexasp01,-1,1941
,,,-1,alexate01,-1,1948
Alexander,Tyler,105472,641302,alexaty01,17735,2021
Alexander,Walt,18390,110132,alexawa01,1000129,1917
Alexy,A.J.,108820,669935,alexyaj01,22343,2021
Alfaro,Jason,31319,430898,alfarja01,2388,2004
Alfaro,Jorge,68062,595751,alfarjo01,12180,2021
Alfonseca,Antonio,220,110134,alfonan01,260,2007
,,,-1,alfonan02,-1,1930
Alfonso,Carlos,74038,429661,,-1,
Alfonzo,Edgardo,538,110135,alfoned01,859,2006
Alfonzo,Eliezer,31976,425769,alfonel01,2331,2011
Alford,Anthony,100152,546990,alforan01,14329,2021
Alicea,Luis,1355,110136,alicelu01,584,2002
,,,-1,,-1,
Allanson,Andy,16676,110137,allanan01,1000130,1995
Allard,Brian,18391,110138,allarbr01,1000131,1981
Allard,Kolby,107170,663465,allarko01,18694,2021
,,,-1,allenal01,-1,1943
Allen,Austin,105476,664119,allenau01,18083,2021
Allen,Bernie,18392,110140,allenbe01,1000132,1973
Allen,Bob,18393,110160,allenbo01,1000133,1900
Allen,Bob,18394,110158,allenbo02,1000134,1919
Allen,Bob,18395,110159,allenbo03,1000135,1937
Allen,Bob,18396,110161,allenbo04,1000136,1967
Allen,Brandon,46899,450315,allenbr01,7436,2012
,,,-1,allenbu01,-1,1940
Allen,Chad,16677,150210,allench01,122,2005
,,,-1,allencl02,-1,1938
,,,-1,allencl01,-1,1932
Allen,Cody,68494,592102,allenco01,12183,2019
Allen,Dick,18397,110157,allendi01,1000137,1977
Allen,Dusty,16678,284569,allendu01,1000138,2000
Allen,Ethan,18398,110142,allenet01,1000139,1938
Allen,Frank,18399,110144,allenfr01,1000140,1917
Allen,Greg,104718,656185,allengr01,16623,2021
,,,-1,allenha03,-1,1934
Allen,Ham,18400,110147,allenha01,1000142,1872
Allen,Hank,18401,110145,allenha02,1000143,1973
Allen,Hezekiah,18402,110146,allenhe01,1000144,1884
Allen,Horace,18403,110148,allenho01,1000145,1919
,,,-1,allenho02,-1,1947
Allen,Jack,18404,110141,allenja01,1000146,1879
Allen,Jamie,18405,110149,allenja02,1000147,1983
